Species,Mass,RMR,TMRmin,Teu,Ttormin,Ceu,Ct,WR,pLean,pFat,pFly,S,Tlc,ttormax,mrPd,aPd,pMass.i,pMass,teu,SA.body,SA.wing,SA.plagio,rEWL.body,rEWL.wing
MYLU,7.78,2.62,0.14,37,2,0.26,0.2,48,0.53,0.22,0.0001,0.1728,32,480,0.677,0.16,0.027,0.027,3,39.2632638,19.6818882,8.660030806,0.1,0.19
EPFU,15.45,3.13,0.14,9,2,0.26,0.2,90,0.5,0.11,0.0001,0.1728,32,792,0.677,0.16,0.027,0.027,1,62.03245786,35.33281818,15.54644,0.1,0.19
MYVE,14.42,3.08,0.09,37,2,0.26,0.2,50,0.43,0.18,0.0001,0.1728,32,792,0.677,0.16,0.027,0.027,3,59.24388182,27.0356,11.895664,0.1,0.19
COTO,9.81,2.79,0.14,37,2,0.26,0.2,91.2,0.54,0.12,0.0001,0.1728,32,792,0.677,0.16,0.027,0.027,3,45.82607606,24.56328571,10.80784571,0.1,0.19
PESU,6.67,2.5,0.15,37,2,0.26,0.2,48,0.48,0.27,0.0001,0.1728,32,792,0.677,0.16,0.027,0.027,3,35.43375864,16.93304762,7.450540952,0.1,0.19
MYTH,9.68,2.78,0.1,37,2,0.26,0.2,54.6,0.55,0.28,0.0001,0.1728,32,792,0.677,0.16,0.027,0.027,3,45.42032508,22.71016254,9.992471518,0.1,0.19
MYYU,5.66,2.22,0.03,37,2,0.26,0.2,27.56,0.29,0.24,0.0001,0.1728,32,506.9366,0.677,0.16,0.027,0.027,1.39793,31.7597899,15.87989495,6.987153778,0.1,0.19
MYCA,5,1.72,0.03,37,2,0.26,0.2,43.8,0.47,0.2,0.0001,0.1728,32,506.9366,0.677,0.16,0.027,0.027,1.39793,29.24017738,14.62008869,6.432839024,0.1,0.19
TABR,19,3.28,0.1,37,2,0.26,0.2,77.4,0.15,0.22,0.0001,0.1728,32,792,0.677,0.16,0.027,0.027,3,71.20367359,35.6018368,15.66480819,0.1,0.19
MYEV,7.59,2.6,0.1,37,2,0.26,0.2,40.2,0.52,0.22,0.0001,0.1728,32,792,0.677,0.16,0.027,0.027,3,38.62138559,19.3106928,8.49670483,0.1,0.19
MYCI,5.8,2.4,0.32,37,2,0.26,0.2,54.68,0.53,0.27,0.0001,0.1728,32,792,0.677,0.16,0.027,0.027,3,32.28137283,16.14068642,7.101902023,0.1,0.19
MYVO,8.6,2.69,0.1,37,2,0.26,0.2,49.46,0.53,0.2,0.0001,0.1728,32,792,0.677,0.16,0.027,0.027,3,41.9757986,20.9878993,9.234675692,0.1,0.19
LANO,12.69868,1.163415,0.01749395,37,4,0.26,0.2,57.55,0.53,0.193,0.0001,0.1728,32,518.0738,0.677,0.16,0.027,0.027,1.401362,54.43009006,27.21504503,11.97461981,0.1,0.19
