,Mass,RMR,TMRmin,Teu,Ttormin,Ceu,Ct,WR,CR,rEWL,pLean,pFat,pFly,S,Tlc,ttormax,mrPd,aPd,rPd,pMass.i,pMass,teu,SA.wing,SA.plagio
MYLU,7.78,2.62,0.14,37.00,2.00,0.26,0.02,48.00,32.16,0.18,0.53,0.22,0.00,0.17,32.00,792,1.4,0.21,1.525,0.027,0.027,3,74.8,38.72
EPFU,15.45,3.13,0.14,37.00,2.00,0.26,0.02,90.00,60.30,0.07,0.50,0.11,0.00,0.17,32.00,792,1.4,0.21,1.525,0.027,0.027,3,141.1,73.04
MYVE,14.42,3.08,0.09,37.00,2.00,0.26,0.02,50.00,33.50,0.16,0.43,0.18,0.00,0.17,32.00,792,1.4,0.21,1.525,0.027,0.027,3,119.85,62.04
COTO,9.81,2.79,0.14,37.00,2.00,0.26,0.02,91.20,61.10,0.13,0.54,0.12,0.00,0.17,32.00,792,1.4,0.21,1.525,0.027,0.027,3,106.25,55
PESU,6.67,2.50,0.15,37.00,2.00,0.26,0.02,48.00,32.00,0.16,0.48,0.27,0.00,0.17,32.00,792,1.4,0.21,1.525,0.027,0.027,3,76.5,39.6
MYTH,9.68,2.78,0.10,37.00,2.00,0.26,0.02,54.60,36.58,0.50,0.55,0.28,0.00,0.17,32.00,792,1.4,0.21,1.525,0.027,0.027,3,113.9,58.96
MYYU,5.66,2.22,0.03,37.00,2.00,0.26,0.02,27.56,18.47,0.63,0.29,0.24,0.00,0.17,32.00,792,1.4,0.21,1.525,0.027,0.027,3,97.75,50.6
MYCA,5.00,1.72,0.03,37.00,2.00,0.26,0.02,43.80,29.35,0.26,0.47,0.20,0.00,0.17,32.00,792,1.4,0.21,1.525,0.027,0.027,3,93.5,48.4
TABR,19.00,3.28,0.10,37.00,2.00,0.26,0.02,77.40,51.86,0.40,0.15,0.22,0.00,0.17,32.00,792,1.4,0.21,1.525,0.027,0.027,3,120.7,62.48
MYEV,7.59,2.60,0.10,37.00,2.00,0.26,0.02,40.20,26.93,0.35,0.52,0.22,0.00,0.17,32.00,792,1.4,0.21,1.525,0.027,0.027,3,93.5,48.4
MYCI,5.80,2.40,0.32,37.00,2.00,0.26,0.02,54.68,36.61,0.35,0.53,0.27,0.00,0.17,32.00,792,1.4,0.21,1.525,0.027,0.027,3,104.55,54.12
MYVO,8.60,2.69,0.10,37.00,2.00,0.26,0.02,49.46,33.11,0.18,0.53,0.20,0.00,0.17,32.00,792,1.4,0.21,1.525,0.027,0.027,3,104.55,54.12
