Parameter,M.lucifugus,M.myotis,E.serotinus,E.fuscus,M.yumanensis,M.yum.min,M.yum.max,M.californicus,M.cal.min,M.cal.max,MYYU,LANO,MYLU,MYCA,MYVO,COTO
RMR,2.6,1,1.596296296,1.13,2.301,1.554,5.362,3.425,1.343,5.385,2.4367,1.0704,1.8526,2.029,6.5876,1.5629
TMRmin,0.03,0.2,0.026431718,0.028,0.0467,0.0175,0.0813,0.033,0.0182,0.0601,0.0333,0.0188,0.0385,0.0304,0.0475,0.0773
Teu,35,35,35,35,33.4,33.4,33.4,32.4,32.4,32.4,35,35,35,35,35,35
Tlc,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Ttormin,2,10,6,3.5,4,4,4,6,6,6,6,4,4,4,6,6
Ceu,0.2638,0.2638,0.2638,0.2638,0.2638,0.2638,0.2638,0.2638,0.2638,0.2638,0.2638,0.2638,0.2638,0.2638,0.2638,0.2638
Ct,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055
S,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131
k,389,74,222,259,,,,,,,,,,,,
ttormax,792,792,792,792,792,792,792,408,408,408,792,552,792,408,792,792
tar,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
teu,3,3,3,3,3,3,3,2.166666667,2.166666667,2.166666667,3,3,3,2.166666667,3,3
Ta,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
mass,9,25,22.7,15,5.55,4.1,7.4,5.4,4.3,6.1,5.66,12.38,,5.44,,
